,ID_current,found_bccwj_file,found_bccwj_start,wrong,correct_bccwj_file,correct_bccwj_start,match_score,levenshtein
91,97_BCCWJ-ABC-aa-simple,LBh0_00004,17940.0,NaN,NaN,NaN,311.9470743,0.0
92,98_BCCWJ-ABC-aa-simple,LBo6_00030,22590.0,NaN,NaN,NaN,300.1663077,0.0
93,99_BCCWJ-ABC-aa-simple,NaN,NaN,NaN,LBgn_00014,290.0,0.0,NaN
94,100_BCCWJ-ABC-aa-simple,LBo4_00034,49530.0,NaN,NaN,NaN,213.9465223,3.0
95,1_BCCWJ-ABC-ab-simple,LBd9_00019,94300.0,NaN,NaN,NaN,130.1607493,1.0
96,2_BCCWJ-ABC-ab-simple,LBe9_00140,5510.0,NaN,NaN,NaN,228.6914712,14.0
97,3_BCCWJ-ABC-ab-simple,LBen_00033,20250.0,NaN,NaN,NaN,249.1793817,1.0
98,4_BCCWJ-ABC-ab-simple,LBd7_00015,22560.0,NaN,NaN,NaN,198.7082885,0.0
99,5_BCCWJ-ABC-ab-simple,LBl9_00093,63090.0,NaN,NaN,NaN,240.9480148,0.0
100,6_BCCWJ-ABC-ab-simple,LBe4_00025,20740.0,NaN,NaN,NaN,335.9790278,0.0
101,8_BCCWJ-ABC-ab-simple,LBj9_00218,24340.0,NaN,NaN,NaN,229.39988,0.0
102,9_BCCWJ-ABC-ab-simple,LBa9_00076,6280.0,NaN,NaN,NaN,330.9169206,0.0
103,10_BCCWJ-ABC-ab-simple,LBe0_00005,7270.0,NaN,NaN,NaN,186.9064843,0.0
104,11_BCCWJ-ABC-ab-simple,LBa1_00015,66520.0,NaN,NaN,NaN,295.5055083,0.0
105,13_BCCWJ-ABC-ab-simple,LBf9_00026,36120.0,NaN,NaN,NaN,178.686046,1.0
106,14_BCCWJ-ABC-ab-simple,LBl9_00262,24490.0,NaN,NaN,NaN,194.2690808,0.0
107,16_BCCWJ-ABC-ab-simple,LBo3_00083,43410.0,NaN,NaN,NaN,206.0385371,0.0
108,17_BCCWJ-ABC-ab-simple,LBe9_00102,17520.0,NaN,NaN,NaN,118.2002354,2.0
109,18_BCCWJ-ABC-ab-simple,NaN,NaN,NaN,LBh0_00015,46930.0,0.0,NaN
110,19_BCCWJ-ABC-ab-simple,LBi9_00182,143210.0,NaN,NaN,NaN,197.7167243,0.0
111,20_BCCWJ-ABC-ab-simple,LBj7_00026,4660.0,NaN,NaN,NaN,149.7570178,0.0
112,21_BCCWJ-ABC-ab-simple,LBd3_00043,58950.0,NaN,NaN,NaN,343.7891482,4.0
113,22_BCCWJ-ABC-ab-simple,LBg8_00003,39730.0,NaN,NaN,NaN,33.85191435,3.0
114,23_BCCWJ-ABC-ab-simple,LBnn_00019,18070.0,NaN,NaN,NaN,215.2436942,6.0
115,24_BCCWJ-ABC-ab-simple,LBj2_00018,73270.0,NaN,NaN,NaN,278.1135016,1.0
116,25_BCCWJ-ABC-ab-simple,LBo4_00039,67130.0,NaN,NaN,NaN,285.037159,1.0
117,26_BCCWJ-ABC-ab-simple,LBk9_00161,1290.0,NaN,NaN,NaN,139.782603,0.0
118,27_BCCWJ-ABC-ab-simple,LBo1_00020,2880.0,NaN,NaN,NaN,269.196158,1.0
119,28_BCCWJ-ABC-ab-simple,LBi4_00012,47040.0,NaN,NaN,NaN,303.8290033,0.0
120,29_BCCWJ-ABC-ab-simple,LBj7_00002,36610.0,NaN,NaN,NaN,283.2278591,1.0
121,30_BCCWJ-ABC-ab-simple,LBi7_00039,12030.0,NaN,NaN,NaN,328.7842516,1.0
122,31_BCCWJ-ABC-ab-simple,LBb9_00005,89200.0,NaN,NaN,NaN,224.7540186,0.0
123,32_BCCWJ-ABC-ab-simple,LBm7_00069,120400.0,NaN,NaN,NaN,116.1013939,0.0
124,33_BCCWJ-ABC-ab-simple,LBl3_00006,74170.0,NaN,NaN,NaN,186.5663678,0.0
125,34_BCCWJ-ABC-ab-simple,LBb3_00049,7270.0,NaN,NaN,NaN,318.5501829,0.0
126,35_BCCWJ-ABC-ab-simple,LBc2_00023,22900.0,NaN,NaN,NaN,308.4641575,1.0
127,37_BCCWJ-ABC-ab-simple,LBl3_00123,13260.0,NaN,NaN,NaN,332.5171745,0.0
128,38_BCCWJ-ABC-ab-simple,LBd9_00084,45970.0,NaN,NaN,NaN,240.0522871,0.0
129,39_BCCWJ-ABC-ab-simple,LBi9_00177,50680.0,NaN,NaN,NaN,154.3845987,0.0
130,40_BCCWJ-ABC-ab-simple,LBb3_00028,14920.0,NaN,NaN,NaN,290.5071763,0.0
131,41_BCCWJ-ABC-ab-simple,LBk0_00005,51340.0,NaN,NaN,NaN,371.4789315,0.0
132,42_BCCWJ-ABC-ab-simple,LBi3_00013,6910.0,NaN,NaN,NaN,310.1247045,1.0
133,43_BCCWJ-ABC-ab-simple,LBcn_00008,35860.0,NaN,NaN,NaN,240.4739528,1.0
134,44_BCCWJ-ABC-ab-simple,LBb4_00019,32180.0,NaN,NaN,NaN,261.6537869,0.0
135,45_BCCWJ-ABC-ab-simple,LBa1_00015,84460.0,NaN,NaN,NaN,329.3229224,0.0
136,46_BCCWJ-ABC-ab-simple,LBm4_00039,23950.0,NaN,NaN,NaN,252.6194816,0.0
137,47_BCCWJ-ABC-ab-simple,LBn9_00206,72460.0,NaN,NaN,NaN,227.2666426,1.0
138,48_BCCWJ-ABC-ab-simple,LBf7_00051,15070.0,NaN,NaN,NaN,42.76588326,5.0
139,50_BCCWJ-ABC-ab-simple,LBf1_00003,24160.0,NaN,NaN,NaN,269.5388292,4.0
140,51_BCCWJ-ABC-ab-simple,LBl9_00020,67560.0,NaN,NaN,NaN,298.6054097,0.0
141,52_BCCWJ-ABC-ab-simple,LBb2_00030,33540.0,NaN,NaN,NaN,388.9399679,0.0
142,53_BCCWJ-ABC-ab-simple,LBo9_00240,44680.0,NaN,NaN,NaN,213.4620609,0.0
143,54_BCCWJ-ABC-ab-simple,LBan_00028,20120.0,NaN,NaN,NaN,200.9380904,1.0
144,55_BCCWJ-ABC-ab-simple,LBg9_00011,93310.0,NaN,NaN,NaN,141.6161787,1.0
145,56_BCCWJ-ABC-ab-simple,LBh9_00165,4880.0,NaN,NaN,NaN,219.1943439,0.0
146,57_BCCWJ-ABC-ab-simple,LBc3_00025,47880.0,NaN,NaN,NaN,283.5006155,0.0
147,58_BCCWJ-ABC-ab-simple,LBg3_00038,15910.0,NaN,NaN,NaN,284.3582487,1.0
148,59_BCCWJ-ABC-ab-simple,LBb9_00100,13830.0,NaN,NaN,NaN,238.006878,1.0
149,60_BCCWJ-ABC-ab-simple,LBf9_00216,68480.0,NaN,NaN,NaN,193.6349165,1.0
150,61_BCCWJ-ABC-ab-simple,LBl4_00055,31450.0,NaN,NaN,NaN,161.4006621,0.0
151,62_BCCWJ-ABC-ab-simple,LBg7_00008,1830.0,NaN,NaN,NaN,265.4446562,0.0
152,63_BCCWJ-ABC-ab-simple,LBi3_00014,19670.0,NaN,NaN,NaN,246.8622071,0.0
153,64_BCCWJ-ABC-ab-simple,LBm2_00082,74350.0,NaN,NaN,NaN,175.5546518,0.0
154,65_BCCWJ-ABC-ab-simple,LBg9_00186,600.0,NaN,NaN,NaN,228.2548053,1.0
155,66_BCCWJ-ABC-ab-simple,LBm9_00145,42060.0,NaN,NaN,NaN,110.5481267,1.0
156,67_BCCWJ-ABC-ab-simple,LBl1_00027,87660.0,NaN,NaN,NaN,143.6753759,0.0
157,68_BCCWJ-ABC-ab-simple,LBf7_00025,27400.0,NaN,NaN,NaN,122.4210846,3.0
158,69_BCCWJ-ABC-ab-simple,LBo9_00027,63070.0,NaN,NaN,NaN,255.5960779,0.0
